ens_gene,Symbol,Uniq_syms,entrez,Gene_name,1_00_2day,2_00_2day,3_00_2day,1_05_2day,2_05_2day,3_05_2day,1_20_2day,2_20_2day,3_20_2day,1_40_2day,2_40_2day,3_40_2day
ENSG00000137434.11,C6orf52,C6orf52,347744,chromosome 6 open reading frame 52,7,13,17,18,10,5,10,10,12,8,10,4
ENSG00000111845.5,PAK1IP1,PAK1IP1,55003,PAK1 interacting protein 1,2143,2162,2917,2400,3092,2783,2783,2554,3334,2696,3237,4162
ENSG00000111843.14,TMEM14C,TMEM14C,51522,transmembrane protein 14C,5430,6162,8410,7106,9704,5641,7298,7693,8880,7854,8278,7431
ENSG00000272097.2,TMEM14B-DT,TMEM14B-DT,118597831,TMEM14B divergent transcript,2,4,6,9,8,9,2,3,5,2,3,9
ENSG00000137210.14,TMEM14B,TMEM14B,81853,transmembrane protein 14B,3357,3929,5347,4319,5730,3809,3746,4396,5295,4420,4666,5197
ENSG00000111837.11,MAK,MAK,4117,male germ cell associated kinase,6,13,15,15,23,12,18,11,15,11,17,1
ENSG00000153157.13,SYCP2L,SYCP2L,221711,synaptonemal complex protein 2 like,21,13,35,29,31,36,24,22,38,34,29,32
ENSG00000197977.4,ELOVL2,ELOVL2,54898,ELOVL fatty acid elongase 2,3562,3243,4621,3261,4406,4492,3018,2939,3504,1911,2830,2721
ENSG00000230314.7,ELOVL2-AS1,ELOVL2-AS1,100506409,ELOVL2 antisense RNA 1,32,50,66,51,65,42,22,40,44,35,30,25
ENSG00000224531.6,SMIM13,SMIM13,221710,small integral membrane protein 13,1526,1467,1896,1604,2124,1865,1664,1566,1850,1383,1734,1181
ENSG00000247925.2,NA,ENSG00000247925.2,NA,NA,2,1,2,2,2,1,7,2,1,1,1,1
ENSG00000111859.17,NEDD9,NEDD9,4739,"neural precursor cell expressed, developmentally down-regulated 9",92,83,97,86,132,93,203,199,159,142,186,114
ENSG00000287920.1,NA,ENSG00000287920.1,NA,NA,0,0,2,0,2,2,1,0,1,0,1,1
ENSG00000205269.6,TMEM170B,TMEM170B,100113407,transmembrane protein 170B,1220,1226,1715,1269,1680,1649,1335,1198,1591,1151,1444,1311
ENSG00000111863.12,ADTRP,ADTRP,84830,androgen dependent TFPI regulating protein,34,27,42,33,59,50,68,66,69,114,146,103
ENSG00000095951.17,HIVEP1,HIVEP1,3096,HIVEP zinc finger 1,788,749,1087,802,1115,1265,1244,1082,1147,1082,1595,1491
ENSG00000078401.7,EDN1,EDN1,1906,endothelin 1,160,164,239,205,227,176,214,189,206,277,355,423
ENSG00000212802.4,RPL15P3,RPL15P3,653232,ribosomal protein L15 pseudogene 3,300,305,539,347,518,506,406,354,442,422,453,1068
ENSG00000112137.17,PHACTR1,PHACTR1,221692,phosphatase and actin regulator 1,51,40,76,54,87,49,61,59,46,54,67,55
ENSG00000215022.7,LOC100130357,LOC100130357,100130357,uncharacterized LOC100130357,3,3,5,7,9,9,5,3,5,8,5,2
ENSG00000145979.18,TBC1D7,TBC1D7,51256,TBC1 domain family member 7,325,333,404,358,445,338,401,442,361,473,587,312
ENSG00000272379.1,NA,ENSG00000272379.1,NA,NA,0,1,5,1,0,5,3,0,4,10,2,9
ENSG00000145990.11,GFOD1,GFOD1,54438,Gfo/Idh/MocA-like oxidoreductase domain containing 1,256,258,364,275,360,363,320,337,317,268,394,220
ENSG00000218265.1,RPS4XP7,RPS4XP7,442162,ribosomal protein S4X pseudogene 7,2,2,3,0,0,1,2,1,0,0,1,1
ENSG00000124523.16,SIRT5,SIRT5,23408,sirtuin 5,276,273,362,276,372,337,327,269,341,271,331,267
ENSG00000261071.1,NA,ENSG00000261071.1,NA,NA,11,10,17,9,15,15,13,13,13,14,17,15
ENSG00000225921.7,NOL7,NOL7,51406,nucleolar protein 7,3678,4007,5138,3844,5399,4448,4124,4078,5174,4297,5057,6258
ENSG00000010017.13,RANBP9,RANBP9,10048,RAN binding protein 9,2999,3037,3878,3055,4185,3985,3386,3280,3726,2829,3674,3272
ENSG00000050393.11,MCUR1,MCUR1,63933,mitochondrial calcium uniporter regulator 1,2187,2234,3307,2403,3347,2813,2578,2458,3002,2306,2910,3472
ENSG00000272209.1,NA,ENSG00000272209.1,NA,NA,2,2,5,1,3,4,3,2,1,1,3,0
ENSG00000180537.13,RNF182,RNF182,221687,ring finger protein 182,1206,1163,1463,1039,1400,1405,1037,1070,1128,784,1117,670
ENSG00000112149.10,CD83,CD83,9308,CD83 molecule,191,185,252,202,313,263,369,330,301,231,298,197
ENSG00000286281.1,NA,ENSG00000286281.1,NA,NA,5,0,3,2,1,4,0,3,2,2,7,1
ENSG00000271888.1,NA,ENSG00000271888.1,NA,NA,9,12,12,10,7,9,12,4,6,5,9,6
ENSG00000008083.14,JARID2,JARID2,3720,jumonji and AT-rich interaction domain containing 2,673,661,889,637,862,916,673,646,643,674,831,689
ENSG00000235488.1,JARID2-AS1,JARID2-AS1,100506681,JARID2 antisense RNA 1,1,1,1,1,1,1,3,1,1,0,0,5
ENSG00000277411.1,NA,ENSG00000277411.1,NA,NA,0,0,0,5,3,2,1,1,0,2,1,1
ENSG00000047579.19,DTNBP1,DTNBP1,84062,dystrobrevin binding protein 1,853,926,1287,849,1302,1040,910,985,880,769,1036,1032
ENSG00000214027.3,NA,ENSG00000214027.3,NA,NA,3,5,8,9,9,8,6,8,8,5,11,2
ENSG00000007944.15,MYLIP,MYLIP,29116,myosin regulatory light chain interacting protein,291,259,372,243,309,290,171,222,232,132,142,126
ENSG00000137198.10,GMPR,GMPR,2766,guanosine monophosphate reductase,469,456,578,381,504,465,299,336,289,237,310,232
ENSG00000124788.18,ATXN1,ATXN1,6310,ataxin 1,1447,1397,1885,1428,1925,1803,1547,1401,1453,1224,1807,1105
ENSG00000229931.1,NA,ENSG00000229931.1,NA,NA,18,14,26,19,22,24,24,30,17,14,32,11
ENSG00000272341.1,NA,ENSG00000272341.1,NA,NA,72,82,107,83,103,123,89,85,136,72,72,108
ENSG00000286631.1,NA,ENSG00000286631.1,NA,NA,1,0,1,0,0,0,2,1,2,0,4,1
ENSG00000230873.9,STMND1,STMND1,401236,stathmin domain containing 1,6,10,28,16,17,17,0,7,17,4,4,3
ENSG00000112183.15,RBM24,RBM24,221662,RNA binding motif protein 24,1010,1046,1507,1086,1476,1299,1002,927,1089,678,932,922
ENSG00000112186.12,CAP2,CAP2,10486,cyclase associated actin cytoskeleton regulatory protein 2,3985,3946,5348,3979,5321,5064,4581,4479,4970,4006,5572,4265
ENSG00000184612.8,NA,ENSG00000184612.8,NA,NA,1,2,3,3,2,0,4,3,3,2,2,5
ENSG00000286885.1,NA,ENSG00000286885.1,NA,NA,8,2,4,3,4,5,4,3,6,1,5,4
ENSG00000137414.6,FAM8A1,FAM8A1,51439,family with sequence similarity 8 member A1,1380,1317,1858,1361,1796,1814,1378,1248,1650,1127,1451,1194
ENSG00000124789.11,NUP153,NUP153,9972,nucleoporin 153,6858,6813,9285,7272,9881,9945,8306,7654,8384,6380,9045,6884
ENSG00000272269.1,NUP153-AS1,NUP153-AS1,105374952,NUP153 antisense RNA 1,68,58,92,79,122,84,103,135,77,95,154,76
ENSG00000137177.20,KIF13A,KIF13A,63971,kinesin family member 13A,3546,3504,4837,3565,4968,5512,4335,4282,4722,3608,5340,3962
ENSG00000187566.6,NHLRC1,NHLRC1,378884,NHL repeat containing E3 ubiquitin protein ligase 1,37,39,42,43,61,43,40,41,50,42,59,31
ENSG00000137364.5,TPMT,TPMT,7172,thiopurine S-methyltransferase,2552,2746,3711,2880,3729,3347,2958,3015,3618,2756,3331,3824
ENSG00000165097.16,KDM1B,KDM1B,221656,lysine demethylase 1B,1082,1138,1565,1148,1623,1673,1380,1316,1613,1172,1592,1525
ENSG00000124795.17,DEK,DEK,7913,DEK proto-oncogene,33684,38149,51363,40431,52992,39464,36768,35631,50476,32756,38676,53665
ENSG00000137393.9,RNF144B,RNF144B,255488,ring finger protein 144B,773,763,1081,803,1052,1018,892,937,1017,857,1140,795
ENSG00000228412.9,LNC-LBCS,LNC-LBCS,100506885,"lncRNA bladder and prostate cancer suppressor, hnRNPK interacting",29,32,46,29,41,21,35,27,30,30,30,29
ENSG00000214012.4,KRT18P38,KRT18P38,441133,keratin 18 pseudogene 38,4,0,3,2,5,2,1,0,3,1,4,0
ENSG00000172201.12,ID4,ID4,3400,inhibitor of DNA binding 4,0,2,2,2,5,3,0,1,0,0,3,0
ENSG00000172197.11,MBOAT1,MBOAT1,154141,membrane bound O-acyltransferase domain containing 1,360,374,475,368,454,439,319,285,264,177,259,162
ENSG00000112242.15,E2F3,E2F3,1871,E2F transcription factor 3,1527,1404,2063,1631,2069,2281,2121,1915,2117,1807,2491,1940
ENSG00000145996.11,CDKAL1,CDKAL1,54901,CDK5 regulatory subunit associated protein 1 like 1,855,831,1198,850,1210,1192,983,992,933,950,1212,1005
ENSG00000124766.7,SOX4,SOX4,6659,SRY-box transcription factor 4,1266,1298,1740,1114,1540,1258,1066,1011,952,791,1128,652
ENSG00000272168.8,NA,ENSG00000272168.8,NA,NA,21,18,21,28,36,26,29,34,34,24,34,27
ENSG00000146038.12,DCDC2,DCDC2,51473,doublecortin domain containing 2,1,2,3,0,1,3,0,2,0,1,3,1
ENSG00000124532.14,MRS2,MRS2,57380,magnesium transporter MRS2,1761,1765,2330,1933,2525,2035,1877,1894,2227,1813,2279,1900
ENSG00000112293.15,GPLD1,GPLD1,2822,glycosylphosphatidylinositol specific phospholipase D1,14,17,15,14,30,21,28,16,22,17,24,15
ENSG00000112294.13,ALDH5A1,ALDH5A1,7915,aldehyde dehydrogenase 5 family member A1,309,339,427,270,438,417,289,262,239,182,239,125
ENSG00000137261.14,KIAA0319,KIAA0319,9856,KIAA0319,4,6,11,2,10,7,4,4,4,2,5,6
ENSG00000111802.14,TDP2,TDP2,51567,tyrosyl-DNA phosphodiesterase 2,2419,2474,3325,2521,3288,2886,2544,2483,3036,2327,2870,2554
ENSG00000112304.11,ACOT13,ACOT13,55856,acyl-CoA thioesterase 13,679,819,1018,834,1063,726,676,732,843,695,681,1391
ENSG00000272345.1,NA,ENSG00000272345.1,NA,NA,36,24,37,31,31,42,21,37,39,38,33,24
ENSG00000112308.13,C6orf62,C6orf62,81688,chromosome 6 open reading frame 62,7936,7979,10059,7702,10415,9275,7543,7778,8546,7022,8652,5941
ENSG00000272402.1,NA,ENSG00000272402.1,NA,NA,1,0,2,2,1,1,2,0,1,1,1,2
ENSG00000112312.10,GMNN,GMNN,51053,geminin DNA replication inhibitor,4408,5053,6963,5677,7298,4851,4815,4838,5824,4045,4420,5578
ENSG00000111913.19,RIPOR2,RIPOR2,9750,RHO family interacting cell polarization regulator 2,223,226,296,167,215,182,74,77,95,25,51,45
ENSG00000214975.4,NA,ENSG00000214975.4,NA,NA,354,357,461,384,487,372,376,316,272,349,489,428
ENSG00000286633.1,NA,ENSG00000286633.1,NA,NA,0,7,7,2,6,3,4,2,0,2,2,0
ENSG00000168405.17,CMAHP,CMAHP,8418,"cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene",15,15,11,10,21,6,12,15,20,10,17,14
ENSG00000219682.4,NA,ENSG00000219682.4,NA,NA,6,5,8,6,9,7,10,6,7,5,7,15
ENSG00000079691.18,CARMIL1,CARMIL1,55604,capping protein regulator and myosin 1 linker 1,598,616,890,643,878,878,681,635,732,487,718,607
ENSG00000112343.11,TRIM38,TRIM38,10475,tripartite motif containing 38,768,737,1176,848,1004,985,906,830,1035,700,876,672
ENSG00000272462.3,NA,ENSG00000272462.3,NA,NA,44,49,66,43,65,63,49,39,54,44,63,48
ENSG00000124610.4,H1-1,H1-1,3024,"H1.1 linker histone, cluster member",3,4,1,6,4,3,4,2,0,3,3,6
ENSG00000275714.1,H3C1,H3C1,8350,H3 clustered histone 1,2,1,0,3,1,0,3,2,0,1,1,0
ENSG00000278637.1,H4C1,H4C1,8359,H4 clustered histone 1,9,7,6,12,16,1,3,6,5,0,6,0
ENSG00000278705.1,H4C2,H4C2,8366,H4 clustered histone 2,4,2,4,4,3,1,1,3,0,1,7,0
ENSG00000286522.1,H3C2,H3C2,8358,H3 clustered histone 2,16,12,9,13,15,5,7,8,8,2,5,4
ENSG00000278463.1,H2AC4,H2AC4,8335,H2A clustered histone 4,0,1,2,4,2,0,1,2,3,2,1,2
ENSG00000287080.1,H3C3,H3C3,8352,H3 clustered histone 3,4,4,3,5,5,0,3,6,2,5,1,0
ENSG00000187837.3,H1-2,H1-2,3006,"H1.2 linker histone, cluster member",234,278,303,270,356,218,230,225,235,151,208,128
ENSG00000010704.18,HFE,HFE,3077,homeostatic iron regulator,566,592,792,613,808,630,449,518,504,303,381,250
ENSG00000197061.4,H4C3,H4C3,8364,H4 clustered histone 3,63,77,166,74,83,75,34,35,73,21,17,19
ENSG00000180596.7,H2BC4,H2BC4,8347,H2B clustered histone 4,23,32,44,25,31,22,21,19,17,16,18,10
ENSG00000180573.9,H2AC6,H2AC6,8334,H2A clustered histone 6,309,347,421,309,361,243,200,203,235,141,184,145
ENSG00000168298.6,H1-4,H1-4,3008,"H1.4 linker histone, cluster member",63,39,29,39,39,13,34,27,7,13,36,1
ENSG00000158373.8,H2BC5,H2BC5,3017,H2B clustered histone 5,127,139,182,122,127,125,104,119,125,74,94,91
ENSG00000283064.1,NA,ENSG00000283064.1,NA,NA,1,3,1,0,2,2,2,1,3,3,1,0
ENSG00000274290.2,H2BC6,H2BC6,8344,H2B clustered histone 6,11,13,13,7,14,9,6,7,11,1,9,3
ENSG00000277157.1,H4C4,H4C4,8360,H4 clustered histone 4,3,6,2,1,4,2,7,5,0,4,2,0
ENSG00000216331.2,NA,ENSG00000216331.2,NA,NA,2,1,2,5,2,4,2,2,3,3,4,0
ENSG00000282988.2,NA,ENSG00000282988.2,NA,NA,14,7,27,15,13,9,6,15,9,6,6,9
ENSG00000277224.2,H2BC7,H2BC7,8343,H2B clustered histone 7,10,9,8,14,11,3,15,8,5,4,5,4
ENSG00000217275.2,RPS10P1,RPS10P1,394255,ribosomal protein S10 pseudogene 1,1,1,1,0,1,4,2,2,0,2,1,0
ENSG00000276966.2,H4C5,H4C5,8367,H4 clustered histone 5,25,18,22,24,22,16,10,23,6,11,21,5
ENSG00000273802.2,H2BC8,H2BC8,8339,H2B clustered histone 8,16,23,22,23,30,15,18,18,9,11,15,13
ENSG00000277075.2,H2AC8,H2AC8,3012,H2A clustered histone 8,24,12,13,24,22,8,17,12,8,15,30,7
ENSG00000274750.2,H3C6,H3C6,8353,H3 clustered histone 6,39,36,63,54,54,62,65,42,50,55,73,53
ENSG00000124575.6,H1-3,H1-3,3007,"H1.3 linker histone, cluster member",7,3,5,7,8,0,5,2,2,3,1,0
ENSG00000277775.1,H3C7,H3C7,8968,H3 clustered histone 7,2,1,1,2,2,0,0,2,0,1,2,0
ENSG00000275713.2,H2BC9,H2BC9,8345,H2B clustered histone 9,19,7,10,13,16,14,10,6,3,4,4,6
ENSG00000273983.1,H3C8,H3C8,8355,H3 clustered histone 8,27,29,35,45,34,17,15,26,16,7,13,9
ENSG00000278588.1,H2BC10,H2BC10,8346,H2B clustered histone 10,2,3,4,3,7,3,7,3,3,3,2,3
ENSG00000158406.4,H4C8,H4C8,8365,H4 clustered histone 8,36,35,59,33,43,35,31,39,39,33,29,25
ENSG00000220875.1,H3C9P,H3C9P,100289545,"H3 clustered histone 9, pseudogene",0,4,2,4,6,2,1,0,0,1,2,1
ENSG00000186470.14,BTN3A2,BTN3A2,11118,butyrophilin subfamily 3 member A2,883,925,1229,887,1110,961,690,643,693,445,612,437
ENSG00000124508.17,BTN2A2,BTN2A2,10385,butyrophilin subfamily 2 member A2,721,788,1111,926,1124,858,839,846,958,706,928,688
ENSG00000026950.17,BTN3A1,BTN3A1,11119,butyrophilin subfamily 3 member A1,326,328,463,319,397,388,320,324,350,212,271,193
ENSG00000124549.14,NA,ENSG00000124549.14,NA,NA,131,123,251,189,199,220,173,177,198,171,217,148
ENSG00000111801.16,BTN3A3,BTN3A3,10384,butyrophilin subfamily 3 member A3,128,130,170,111,117,134,84,69,73,52,82,50
ENSG00000112763.17,BTN2A1,BTN2A1,11120,butyrophilin subfamily 2 member A1,1455,1518,2150,1760,2291,1978,1866,1835,2136,1743,2277,1740
ENSG00000228223.3,HCG11,HCG11,493812,HLA complex group 11,264,294,384,279,381,433,329,333,392,259,424,333
ENSG00000182952.5,HMGN4,HMGN4,10473,high mobility group nucleosomal binding domain 4,3913,4217,5322,4177,5432,4277,3775,3729,4593,3454,4398,3780
ENSG00000146109.5,ABT1,ABT1,29777,activator of basal transcription 1,1196,1327,1696,1313,1782,1125,1312,1364,1360,1223,1376,695
ENSG00000181315.11,ZNF322,ZNF322,79692,zinc finger protein 322,476,516,745,576,775,695,638,626,716,612,768,609
ENSG00000285571.1,NA,ENSG00000285571.1,NA,NA,7,0,1,1,2,1,0,0,0,0,2,0
ENSG00000241549.8,NA,ENSG00000241549.8,NA,NA,14,10,21,15,19,23,11,11,18,10,7,10
ENSG00000224843.8,LINC00240,LINC00240,100133205,long intergenic non-protein coding RNA 240,8,11,17,20,13,9,11,10,9,10,7,16
ENSG00000287966.1,NA,ENSG00000287966.1,NA,NA,3,6,8,4,4,9,11,5,6,3,5,3
ENSG00000272468.1,NA,ENSG00000272468.1,NA,NA,33,43,52,37,38,31,20,22,42,11,20,17
ENSG00000124635.8,H2BC11,H2BC11,8970,H2B clustered histone 11,162,195,232,187,180,147,132,150,117,83,83,32
ENSG00000196787.3,H2AC11,H2AC11,8969,H2A clustered histone 11,93,90,132,90,119,120,89,79,103,51,49,49
ENSG00000276180.1,H4C9,H4C9,8294,H4 clustered histone 9,12,8,9,7,12,9,3,10,1,2,6,0
ENSG00000197903.7,H2BC12,H2BC12,85236,H2B clustered histone 12,513,435,648,506,695,482,457,434,386,306,387,161
ENSG00000274997.1,H2AC12,H2AC12,85235,H2A clustered histone 12,4,6,1,6,5,2,5,3,3,1,4,1
ENSG00000112812.16,PRSS16,PRSS16,10279,serine protease 16,50,44,71,49,59,38,61,39,39,51,46,48
ENSG00000204789.4,NA,ENSG00000204789.4,NA,NA,17,14,23,15,34,33,25,16,38,29,20,34
ENSG00000124613.8,ZNF391,ZNF391,346157,zinc finger protein 391,231,192,293,222,303,296,216,205,287,223,285,389
ENSG00000271755.1,NA,ENSG00000271755.1,NA,NA,1,5,3,3,6,1,0,2,4,5,4,2
ENSG00000096654.15,ZNF184,ZNF184,7738,zinc finger protein 184,901,989,1247,1112,1312,1027,849,858,1086,711,906,1233
ENSG00000286652.1,NA,ENSG00000286652.1,NA,NA,1,5,5,2,7,3,3,7,7,5,2,8
ENSG00000281706.3,LINC01012,LINC01012,100507173,long intergenic non-protein coding RNA 1012,14,22,35,34,33,25,23,42,37,28,20,25
ENSG00000287252.1,NA,ENSG00000287252.1,NA,NA,30,19,53,23,21,25,28,20,34,24,29,17
ENSG00000218069.2,NA,ENSG00000218069.2,NA,NA,3,1,3,5,1,2,5,2,0,2,4,5
ENSG00000185130.5,H2BC13,H2BC13,8340,H2B clustered histone 13,8,13,7,9,7,4,6,3,3,8,8,0
ENSG00000196747.4,H2AC13,H2AC13,8329,H2A clustered histone 13,8,11,7,15,13,9,2,12,6,7,11,5
ENSG00000278828.1,H3C10,H3C10,8357,H3 clustered histone 10,24,47,58,34,55,28,29,21,13,9,23,7
ENSG00000276368.1,H2AC14,H2AC14,8331,H2A clustered histone 14,5,6,1,3,1,1,8,4,1,3,1,2
ENSG00000273703.1,H2BC14,H2BC14,8342,H2B clustered histone 14,2,1,3,3,2,0,3,4,1,0,1,0
ENSG00000197238.4,H4C11,H4C11,8363,H4 clustered histone 11,2,0,5,3,3,1,2,3,2,0,1,2
ENSG00000273542.1,H4C12,H4C12,8362,H4 clustered histone 12,1,5,2,1,0,1,2,0,1,1,0,0
ENSG00000233822.4,H2BC15,H2BC15,8341,H2B clustered histone 15,38,36,33,33,43,23,21,29,27,13,29,17
ENSG00000275221.1,H2AC15,H2AC15,8330,H2A clustered histone 15,1,4,6,7,5,6,4,2,1,1,4,0
ENSG00000276903.1,H2AC16,H2AC16,8332,H2A clustered histone 16,3,7,1,7,4,1,3,3,4,1,3,0
ENSG00000184357.4,H1-5,H1-5,3009,"H1.5 linker histone, cluster member",24,19,11,17,27,5,15,17,11,15,22,10
ENSG00000275379.1,H3C11,H3C11,8354,H3 clustered histone 11,6,2,3,2,1,2,4,4,0,2,6,2
ENSG00000275126.1,H4C13,H4C13,8368,H4 clustered histone 13,5,4,1,0,2,1,1,2,0,2,3,1
ENSG00000197153.4,H3C12,H3C12,8356,H3 clustered histone 12,7,11,15,11,6,3,5,4,3,4,7,5
ENSG00000274641.1,H2BC17,H2BC17,8348,H2B clustered histone 17,19,15,12,8,13,10,13,11,1,7,10,4
ENSG00000168126.3,OR2W6P,OR2W6P,81406,olfactory receptor family 2 subfamily W member 6 pseudogene,2,0,3,4,5,6,2,3,2,0,0,2
ENSG00000124657.1,OR2B6,OR2B6,26212,olfactory receptor family 2 subfamily B member 6,3,7,7,2,12,5,2,2,5,0,2,0
ENSG00000269293.3,ZSCAN16-AS1,ZSCAN16-AS1,100129195,ZSCAN16 antisense RNA 1,88,78,130,100,112,70,61,78,81,72,71,80
ENSG00000272009.1,NA,ENSG00000272009.1,NA,NA,6,20,16,14,14,16,14,8,17,5,14,8
ENSG00000197279.4,ZNF165,ZNF165,7718,zinc finger protein 165,41,32,40,26,48,53,34,30,26,27,44,31
ENSG00000219891.2,NA,ENSG00000219891.2,NA,NA,3,1,4,0,6,2,4,4,0,0,2,0
ENSG00000196812.5,ZSCAN16,ZSCAN16,80345,zinc finger and SCAN domain containing 16,266,251,380,294,355,286,290,260,323,292,285,480
ENSG00000198315.11,ZKSCAN8,ZKSCAN8,7745,zinc finger with KRAB and SCAN domains 8,1390,1391,2009,1547,2036,2299,1717,1693,1915,1603,2332,2142
ENSG00000226314.8,ZKSCAN8P1,ZKSCAN8P1,651302,ZKSCAN8 pseudogene 1,18,23,56,33,41,43,28,31,30,40,33,50
ENSG00000280107.1,NA,ENSG00000280107.1,NA,NA,4,4,9,8,12,10,10,4,20,12,10,7
ENSG00000216901.1,ZNF603P,ZNF603P,493821,"zinc finger protein 603, pseudogene",5,2,5,2,0,8,6,3,5,2,0,6
ENSG00000176933.5,NA,ENSG00000176933.5,NA,NA,8,15,16,10,20,21,23,9,10,21,19,7
ENSG00000137185.12,ZSCAN9,ZSCAN9,7746,zinc finger and SCAN domain containing 9,317,310,459,363,416,410,347,344,386,360,392,348
ENSG00000187626.9,ZKSCAN4,ZKSCAN4,387032,zinc finger with KRAB and SCAN domains 4,340,277,439,335,439,386,288,351,332,288,308,272
ENSG00000197062.11,ZSCAN26,ZSCAN26,7741,zinc finger and SCAN domain containing 26,458,575,669,536,700,534,538,497,646,493,610,636
ENSG00000137338.5,PGBD1,PGBD1,84547,piggyBac transposable element derived 1,572,554,722,576,828,847,643,606,675,471,600,553
ENSG00000235109.7,ZSCAN31,ZSCAN31,64288,zinc finger and SCAN domain containing 31,196,172,225,202,273,213,176,166,189,81,110,113
ENSG00000189298.14,ZKSCAN3,ZKSCAN3,80317,zinc finger with KRAB and SCAN domains 3,228,229,320,220,319,310,211,213,258,196,256,192
ENSG00000158691.14,ZSCAN12,ZSCAN12,9753,zinc finger and SCAN domain containing 12,443,504,676,508,698,645,604,518,769,622,818,775
ENSG00000187987.9,ZSCAN23,ZSCAN23,222696,zinc finger and SCAN domain containing 23,20,23,41,28,44,44,18,18,29,29,40,21
ENSG00000232040.4,SCAND3,SCAND3,114821,SCAN domain containing 3,185,159,242,204,269,209,165,158,190,157,197,134
ENSG00000246350.1,NA,ENSG00000246350.1,NA,NA,1,0,1,1,1,0,1,4,0,0,1,0
ENSG00000235559.1,NA,ENSG00000235559.1,NA,NA,12,34,34,17,31,10,30,32,28,25,35,11
ENSG00000204713.11,TRIM27,TRIM27,5987,tripartite motif containing 27,2267,2372,3014,2492,3278,2348,2685,2579,2528,2408,2785,1611
ENSG00000227214.2,NA,ENSG00000227214.2,NA,NA,8,4,12,8,7,6,9,6,4,11,10,10
ENSG00000244349.1,NA,ENSG00000244349.1,NA,NA,3,3,4,5,3,3,7,3,7,5,12,0
ENSG00000197935.6,ZNF311,ZNF311,282890,zinc finger protein 311,62,66,96,76,81,84,102,76,104,73,90,77
ENSG00000204681.11,GABBR1,GABBR1,2550,gamma-aminobutyric acid type B receptor subunit 1,156,116,226,175,202,230,141,157,164,178,169,170
ENSG00000235238.1,NA,ENSG00000235238.1,NA,NA,21,24,22,22,28,27,22,17,26,14,29,18
ENSG00000233916.1,ZDHHC20P1,ZDHHC20P1,100048907,zinc finger DHHC-type containing 20 pseudogene 1,0,1,0,0,4,2,0,0,2,1,1,2
ENSG00000204642.14,HLA-F,HLA-F,3134,"major histocompatibility complex, class I, F",186,151,254,153,164,102,92,103,89,98,104,76
ENSG00000225864.1,NA,ENSG00000225864.1,NA,NA,1,3,1,4,0,1,2,0,1,1,3,0
ENSG00000214922.9,HLA-F-AS1,HLA-F-AS1,285830,HLA-F antisense RNA 1,30,30,44,32,43,43,36,24,40,33,42,36
ENSG00000273340.1,NA,ENSG00000273340.1,NA,NA,4,1,8,10,5,9,6,7,3,9,10,3
ENSG00000235821.1,IFITM4P,IFITM4P,340198,interferon induced transmembrane protein 4 pseudogene,1,3,6,3,3,1,0,4,3,2,0,0
ENSG00000181126.13,NA,ENSG00000181126.13,NA,NA,3,6,3,8,9,2,6,5,6,5,3,5
ENSG00000176998.4,NA,ENSG00000176998.4,NA,NA,3,2,5,2,1,5,0,3,3,2,1,1
ENSG00000204632.11,HLA-G,HLA-G,3135,"major histocompatibility complex, class I, G",2,4,6,3,5,2,3,5,3,2,3,0
ENSG00000230521.1,NA,ENSG00000230521.1,NA,NA,5,10,12,11,12,2,4,6,3,6,9,0
ENSG00000206341.7,NA,ENSG00000206341.7,NA,NA,449,394,508,471,598,184,220,193,170,198,204,83
ENSG00000206503.13,HLA-A,HLA-A,3105,"major histocompatibility complex, class I, A",6706,7180,10059,6985,8507,5054,4983,5043,4444,4761,5454,3556
ENSG00000227766.1,NA,ENSG00000227766.1,NA,NA,78,78,107,91,64,32,45,40,19,46,39,44
ENSG00000204623.9,POLR1HASP,POLR1HASP,80862,"POLR1H antisense, pseudogene",69,70,129,116,114,144,101,100,115,97,132,153
ENSG00000204622.11,NA,ENSG00000204622.11,NA,NA,7,1,8,6,6,1,1,0,1,1,2,0
ENSG00000237669.1,NA,ENSG00000237669.1,NA,NA,1,4,2,0,6,1,7,4,3,1,6,0
ENSG00000066379.15,POLR1H,POLR1H,30834,RNA polymerase I subunit H,555,570,786,682,881,459,613,637,616,725,679,356
ENSG00000204619.8,PPP1R11,PPP1R11,6992,protein phosphatase 1 regulatory inhibitor subunit 11,2046,2088,2843,2069,2585,2195,2157,2216,2187,2088,2601,2023
ENSG00000204618.8,RNF39,RNF39,80352,ring finger protein 39,0,0,2,4,0,3,1,1,0,1,0,0
ENSG00000231226.1,TRIM31-AS1,TRIM31-AS1,104533120,TRIM31 antisense RNA 1,0,5,3,3,1,0,4,0,1,1,2,1
ENSG00000234127.9,TRIM26,TRIM26,7726,tripartite motif containing 26,1931,2009,2750,2097,2854,2329,2347,2380,2115,1897,2722,1550
ENSG00000233892.1,PAIP1P1,PAIP1P1,100421582,PAIP1 pseudogene 1,2,1,9,3,0,6,2,7,2,3,6,6
ENSG00000270604.5,HCG17,HCG17,414778,HLA complex group 17,0,1,2,1,1,0,2,0,1,2,4,1
ENSG00000243753.5,NA,ENSG00000243753.5,NA,NA,47,43,81,64,64,68,50,60,55,48,55,28
